text,label
"I absolutely loved the product, it works perfectly Perfect choice.",positive
"Five stars, will buy again Highly recommended.",positive
"Five stars, will buy again Highly recommended.",positive
"Super helpful team, very satisfied Loved it!",positive
Shipping was delayed and packaging was bad Very upset.,negative
Brilliant value for money Highly recommended.,positive
"One star, totally dissatisfied Very upset.",negative
Great quality and excellent support Thank you!,positive
"Waste of money, never buying again Do not buy.",negative
The service was awful and slow Bad decision.,negative
"Waste of money, never buying again Bad decision.",negative
Fantastic service and speedy delivery Thank you!,positive
The service was awful and slow Do not buy.,negative
"I absolutely loved the product, it works perfectly Thank you!",positive
"I absolutely loved the product, it works perfectly Thank you!",positive
"Terrible product, completely disappointed Bad decision.",negative
"Terrible product, completely disappointed Worst ever.",negative
"Terrible product, completely disappointed Very upset.",negative
"Waste of money, never buying again Worst ever.",negative
Great quality and excellent support Highly recommended.,positive
Fantastic service and speedy delivery Perfect choice.,positive
"Waste of money, never buying again Do not buy.",negative
Very poor quality and unhelpful support Do not buy.,negative
"I absolutely loved the product, it works perfectly Loved it!",positive
"One star, totally dissatisfied Do not buy.",negative
The service was awful and slow Do not buy.,negative
"One star, totally dissatisfied Worst ever.",negative
Shipping was delayed and packaging was bad Bad decision.,negative
"The experience was amazing, would recommend Highly recommended.",positive
Very poor quality and unhelpful support Do not buy.,negative
Very poor quality and unhelpful support Do not buy.,negative
"Horrible experience, not recommended Bad decision.",negative
"The experience was amazing, would recommend Loved it!",positive
"I absolutely loved the product, it works perfectly Perfect choice.",positive
Great quality and excellent support Thank you!,positive
Shipping was delayed and packaging was bad Bad decision.,negative
"I absolutely loved the product, it works perfectly Perfect choice.",positive
Shipping was delayed and packaging was bad Worst ever.,negative
"One star, totally dissatisfied Bad decision.",negative
Shipping was delayed and packaging was bad Worst ever.,negative
"The experience was amazing, would recommend Thank you!",positive
"One star, totally dissatisfied Bad decision.",negative
"Waste of money, never buying again Do not buy.",negative
"Five stars, will buy again Highly recommended.",positive
Fantastic service and speedy delivery Highly recommended.,positive
"Terrible product, completely disappointed Very upset.",negative
"One star, totally dissatisfied Bad decision.",negative
Great quality and excellent support Thank you!,positive
Great quality and excellent support Thank you!,positive
"Waste of money, never buying again Very upset.",negative
"Super helpful team, very satisfied Highly recommended.",positive
"Super helpful team, very satisfied Thank you!",positive
Brilliant value for money Loved it!,positive
"The experience was amazing, would recommend Highly recommended.",positive
The service was awful and slow Bad decision.,negative
"I absolutely loved the product, it works perfectly Perfect choice.",positive
"Waste of money, never buying again Do not buy.",negative
Fantastic service and speedy delivery Highly recommended.,positive
"Horrible experience, not recommended Do not buy.",negative
Very poor quality and unhelpful support Bad decision.,negative
"Waste of money, never buying again Very upset.",negative
Brilliant value for money Perfect choice.,positive
"Super helpful team, very satisfied Perfect choice.",positive
Fantastic service and speedy delivery Loved it!,positive
Shipping was delayed and packaging was bad Worst ever.,negative
"Horrible experience, not recommended Worst ever.",negative
Brilliant value for money Thank you!,positive
"I absolutely loved the product, it works perfectly Perfect choice.",positive
The service was awful and slow Bad decision.,negative
"Waste of money, never buying again Worst ever.",negative
"Five stars, will buy again Highly recommended.",positive
Brilliant value for money Highly recommended.,positive
The service was awful and slow Do not buy.,negative
"Terrible product, completely disappointed Do not buy.",negative
Great quality and excellent support Perfect choice.,positive
"One star, totally dissatisfied Do not buy.",negative
"I absolutely loved the product, it works perfectly Thank you!",positive
"Horrible experience, not recommended Do not buy.",negative
"Waste of money, never buying again Bad decision.",negative
"Super helpful team, very satisfied Highly recommended.",positive
Very poor quality and unhelpful support Worst ever.,negative
"Terrible product, completely disappointed Do not buy.",negative
"Horrible experience, not recommended Bad decision.",negative
"I absolutely loved the product, it works perfectly Perfect choice.",positive
Brilliant value for money Highly recommended.,positive
"Waste of money, never buying again Worst ever.",negative
"One star, totally dissatisfied Worst ever.",negative
The service was awful and slow Bad decision.,negative
Brilliant value for money Thank you!,positive
Shipping was delayed and packaging was bad Worst ever.,negative
"Five stars, will buy again Perfect choice.",positive
"The experience was amazing, would recommend Thank you!",positive
"One star, totally dissatisfied Worst ever.",negative
"Super helpful team, very satisfied Thank you!",positive
"One star, totally dissatisfied Do not buy.",negative
Brilliant value for money Thank you!,positive
"Terrible product, completely disappointed Worst ever.",negative
"The experience was amazing, would recommend Loved it!",positive
"Super helpful team, very satisfied Thank you!",positive
Great quality and excellent support Loved it!,positive
"Horrible experience, not recommended Bad decision.",negative
"Waste of money, never buying again Bad decision.",negative
The service was awful and slow Worst ever.,negative
"Super helpful team, very satisfied Thank you!",positive
Very poor quality and unhelpful support Bad decision.,negative
"Waste of money, never buying again Very upset.",negative
Brilliant value for money Loved it!,positive
"Horrible experience, not recommended Bad decision.",negative
"Waste of money, never buying again Do not buy.",negative
Fantastic service and speedy delivery Loved it!,positive
The service was awful and slow Worst ever.,negative
Fantastic service and speedy delivery Loved it!,positive
"Horrible experience, not recommended Worst ever.",negative
"Horrible experience, not recommended Worst ever.",negative
